Observation unit ID	Date	NumMainStems	TubN_total_per_plant	TubW_total_per_plant	DoE	PlantHeight
WUR:CE-FIN05-I-161-B	2005-06-28				29	8
WUR:CE-FIN05-I-161-C	2005-06-28				29	6
WUR:CE-FIN05-I-162-A	2005-06-28				28	6
WUR:CE-FIN05-I-162-B	2005-06-28				28	9
WUR:CE-FIN05-I-162-C	2005-06-28				30	4
WUR:CE-FIN05-I-163-A	2005-06-28				28	6
WUR:CE-FIN05-I-163-B	2005-06-28				28	6
WUR:CE-FIN05-I-163-C	2005-06-28				26	8
WUR:CE-FIN05-I-164-A	2005-06-28				40	1
WUR:CE-FIN05-I-164-B	2005-06-28				30	6
WUR:CE-FIN05-I-164-C	2005-06-28				36	2
WUR:CE-FIN05-I-165-A	2005-06-28				26	7
WUR:CE-FIN05-I-165-B	2005-06-28				27	8
WUR:CE-FIN05-I-165-C	2005-06-28				42	1
WUR:CE-FIN05-I-166-A	2005-06-28				27	8
WUR:CE-FIN05-I-166-B	2005-06-28				25	10
WUR:CE-FIN05-I-166-C	2005-06-28				25	12
WUR:CE-FIN05-I-167-A	2005-06-28				27	6
WUR:CE-FIN05-I-167-B	2005-06-28		2	6.1	38	2
WUR:CE-FIN05-I-167-C	2005-06-28				27	10
WUR:CE-FIN05-I-168-A	2005-06-28				28	6
WUR:CE-FIN05-I-168-B	2005-06-28				29	9
WUR:CE-FIN05-I-168-C	2005-06-28				38	2
WUR:CE-FIN05-I-169-A	2005-06-28				36	4
WUR:CE-FIN05-I-169-B	2005-06-28				29	11
WUR:CE-FIN05-I-169-C	2005-06-28				29	10
WUR:CE-FIN05-I-170-A	2005-06-28				26	13
WUR:CE-FIN05-I-170-B	2005-06-28				30	5
WUR:CE-FIN05-I-170-C	2005-06-28				24	14
WUR:CE-FIN05-I-171-A	2005-06-28				25	11
WUR:CE-FIN05-I-171-B	2005-06-28				27	12
WUR:CE-FIN05-I-171-C	2005-06-28				27	8
WUR:CE-FIN05-I-172-A	2005-06-28				26	13
WUR:CE-FIN05-I-172-B	2005-06-28				26	10
WUR:CE-FIN05-I-172-C	2005-06-28				26	9
WUR:CE-FIN05-I-173-A	2005-06-28				28	11
WUR:CE-FIN05-I-173-B	2005-06-28				28	9
WUR:CE-FIN05-I-173-C	2005-06-28				29	7
WUR:CE-FIN05-I-174-A	2005-06-28				36	6
WUR:CE-FIN05-I-174-B	2005-06-28				27	8
WUR:CE-FIN05-I-174-C	2005-06-28				30	8
WUR:CE-FIN05-I-175-A	2005-06-28				27	8
WUR:CE-FIN05-I-175-B	2005-06-28				25	14
WUR:CE-FIN05-I-175-C	2005-06-28				26	6
WUR:CE-FIN05-I-176-A	2005-06-28				37	2
WUR:CE-FIN05-I-176-B	2005-06-28				28	4
WUR:CE-FIN05-I-176-C	2005-06-28				38	1
WUR:CE-FIN05-I-177-A	2005-06-28				29	7
WUR:CE-FIN05-I-177-B	2005-06-28					
WUR:CE-FIN05-I-177-C	2005-06-28				23	13
WUR:CE-FIN05-I-178-A	2005-06-28				31	4
WUR:CE-FIN05-I-178-B	2005-06-28				38	2
WUR:CE-FIN05-I-178-C	2005-06-28				33	3
WUR:CE-FIN05-I-179-A	2005-06-28				26	15
WUR:CE-FIN05-I-179-B	2005-06-28					
WUR:CE-FIN05-I-179-C	2005-06-28				26	10
WUR:CE-FIN05-I-180-A	2005-06-28				27	8
WUR:CE-FIN05-I-180-B	2005-06-28				25	11
WUR:CE-FIN05-I-180-C	2005-06-28				26	11
WUR:CE-FIN05-I-181-A	2005-06-28				35	1
WUR:CE-FIN05-I-181-B	2005-06-28				33	4
WUR:CE-FIN05-I-181-C	2005-06-28				34	5
WUR:CE-FIN05-I-182-A	2005-06-28				26	1
WUR:CE-FIN05-I-182-B	2005-06-28				36	1
WUR:CE-FIN05-I-182-C	2005-06-28				38	1
WUR:CE-FIN05-I-183-A	2005-06-28				37	3
WUR:CE-FIN05-I-183-B	2005-06-28				42	1
WUR:CE-FIN05-I-183-C	2005-06-28				35	4
WUR:CE-FIN05-I-184-A	2005-06-28				25	12
WUR:CE-FIN05-I-184-B	2005-06-28				23	12
WUR:CE-FIN05-I-184-C	2005-06-28				23	14
WUR:CE-FIN05-I-185-A	2005-06-28				29	4
WUR:CE-FIN05-I-185-B	2005-06-28				33	2
WUR:CE-FIN05-I-185-C	2005-06-28				27	7
WUR:CE-FIN05-I-186-A	2005-06-28					1
WUR:CE-FIN05-I-186-B	2005-06-28				27	10
WUR:CE-FIN05-I-186-C	2005-06-28				32	5
WUR:CE-FIN05-I-187-A	2005-06-28				33	6
WUR:CE-FIN05-I-187-B	2005-06-28					
WUR:CE-FIN05-I-187-C	2005-06-28					
WUR:CE-FIN05-I-188-A	2005-06-28					
WUR:CE-FIN05-I-188-B	2005-06-28				40	1
WUR:CE-FIN05-I-188-C	2005-06-28					
WUR:CE-FIN05-I-189-A	2005-06-28				34	6
WUR:CE-FIN05-I-189-B	2005-06-28				31	8
WUR:CE-FIN05-I-189-C	2005-06-28				38	2
WUR:CE-FIN05-I-190-A	2005-06-28				33	7
WUR:CE-FIN05-I-190-B	2005-06-28				36	2
WUR:CE-FIN05-I-190-C	2005-06-28					1
WUR:CE-FIN05-I-191-A	2005-06-28				30	6
WUR:CE-FIN05-I-191-B	2005-06-28				29	10
WUR:CE-FIN05-I-191-C	2005-06-28				31	10
WUR:CE-FIN05-I-192-A	2005-06-28				36	5
WUR:CE-FIN05-I-192-B	2005-06-28				35	4
WUR:CE-FIN05-I-192-C	2005-06-28				28	
WUR:CE-FIN05-I-193-A	2005-06-28				36	2
WUR:CE-FIN05-I-193-B	2005-06-28				29	7
WUR:CE-FIN05-I-193-C	2005-06-28				29	8
WUR:CE-FIN05-I-194-A	2005-06-28				35	2
WUR:CE-FIN05-I-194-B	2005-06-28				35	1
WUR:CE-FIN05-I-194-C	2005-06-28				37	1
WUR:CE-FIN05-I-195-A	2005-06-28				25	13
WUR:CE-FIN05-I-195-B	2005-06-28				25	14
WUR:CE-FIN05-I-195-C	2005-06-28				29	6
WUR:CE-FIN05-I-196-A	2005-06-28				25	9
WUR:CE-FIN05-I-196-B	2005-06-28					
WUR:CE-FIN05-I-196-C	2005-06-28				41	1
WUR:CE-FIN05-I-197-A	2005-06-28				32	1
WUR:CE-FIN05-I-197-B	2005-06-28				30	6
WUR:CE-FIN05-I-197-C	2005-06-28				27	8
WUR:CE-FIN05-I-198-A	2005-06-28				25	7
WUR:CE-FIN05-I-198-B	2005-06-28				27	6
WUR:CE-FIN05-I-198-C	2005-06-28				35	1
WUR:CE-FIN05-I-199-A	2005-06-28				41	1
WUR:CE-FIN05-I-199-B	2005-06-28				30	7
WUR:CE-FIN05-I-199-C	2005-06-28				28	10
WUR:CE-FIN05-I-200-A	2005-06-28				25	10
WUR:CE-FIN05-I-200-B	2005-06-28				25	12
WUR:CE-FIN05-I-200-C	2005-06-28				26	7
WUR:CE-FIN05-I-201-A	2005-06-28				35	2
WUR:CE-FIN05-I-201-B	2005-06-28				35	3
WUR:CE-FIN05-I-201-C	2005-06-28				33	8
WUR:CE-FIN05-I-202-A	2005-06-28				34	4
WUR:CE-FIN05-I-202-B	2005-06-28				40	1
WUR:CE-FIN05-I-202-C	2005-06-28				26	12
WUR:CE-FIN05-I-203-A	2005-06-28				27	9
WUR:CE-FIN05-I-203-B	2005-06-28				26	15
WUR:CE-FIN05-I-203-C	2005-06-28				24	15
WUR:CE-FIN05-I-204-A	2005-06-28				27	10
WUR:CE-FIN05-I-204-B	2005-06-28				27	8
WUR:CE-FIN05-I-204-C	2005-06-28				28	6
WUR:CE-FIN05-I-205-A	2005-06-28				28	6
WUR:CE-FIN05-I-205-B	2005-06-28				29	5
WUR:CE-FIN05-I-205-C	2005-06-28				31	4
WUR:CE-FIN05-I-206-A	2005-06-28				37	1
WUR:CE-FIN05-I-206-B	2005-06-28				28	8
WUR:CE-FIN05-I-206-C	2005-06-28				28	8
WUR:CE-FIN05-I-207-A	2005-06-28				40	1
WUR:CE-FIN05-I-207-B	2005-06-28				26	11
WUR:CE-FIN05-I-207-C	2005-06-28				39	2
WUR:CE-FIN05-I-208-A	2005-06-28				28	3
WUR:CE-FIN05-I-208-B	2005-06-28				28	6
WUR:CE-FIN05-I-208-C	2005-06-28				26	6
WUR:CE-FIN05-I-209-A	2005-06-28				30	7
WUR:CE-FIN05-I-209-B	2005-06-28				41	1
WUR:CE-FIN05-I-209-C	2005-06-28				41	1
WUR:CE-FIN05-I-210-A	2005-06-28				28	7
WUR:CE-FIN05-I-210-B	2005-06-28				25	10
WUR:CE-FIN05-I-210-C	2005-06-28				27	4
WUR:CE-FIN05-I-211-A	2005-06-28				26	10
WUR:CE-FIN05-I-211-B	2005-06-28				30	5
WUR:CE-FIN05-I-211-C	2005-06-28				28	6
WUR:CE-FIN05-I-212-A	2005-06-28				25	9
WUR:CE-FIN05-I-212-B	2005-06-28				28	1
WUR:CE-FIN05-I-212-C	2005-06-28				27	10
WUR:CE-FIN05-I-213-A	2005-06-28				38	2
WUR:CE-FIN05-I-213-B	2005-06-28				38	2
WUR:CE-FIN05-I-213-C	2005-06-28				35	5
WUR:CE-FIN05-I-214-A	2005-06-28				37	2
WUR:CE-FIN05-I-214-B	2005-06-28				40	1
WUR:CE-FIN05-I-214-C	2005-06-28				37	2
WUR:CE-FIN05-I-215-A	2005-06-28				26	7
WUR:CE-FIN05-I-215-B	2005-06-28				29	6
WUR:CE-FIN05-I-215-C	2005-06-28				29	7
WUR:CE-FIN05-I-216-A	2005-06-28				37	2
WUR:CE-FIN05-I-216-B	2005-06-28					
WUR:CE-FIN05-I-216-C	2005-06-28				37	2
WUR:CE-FIN05-I-217-A	2005-06-28				25	7
WUR:CE-FIN05-I-217-B	2005-06-28				25	4
WUR:CE-FIN05-I-217-C	2005-06-28				26	17
WUR:CE-FIN05-I-218-A	2005-06-28				26	8
WUR:CE-FIN05-I-218-B	2005-06-28				26	9
WUR:CE-FIN05-I-218-C	2005-06-28					
WUR:CE-FIN05-I-219-A	2005-06-28				38	1
WUR:CE-FIN05-I-219-B	2005-06-28				33	2
WUR:CE-FIN05-I-219-C	2005-06-28				29	6
WUR:CE-FIN05-I-220-A	2005-06-28				27	12
WUR:CE-FIN05-I-220-B	2005-06-28				27	10
WUR:CE-FIN05-I-220-C	2005-06-28				27	8
WUR:CE-FIN05-I-221-A	2005-06-28					
WUR:CE-FIN05-I-221-B	2005-06-28				34	6
WUR:CE-FIN05-I-221-C	2005-06-28				35	3
WUR:CE-FIN05-I-222-A	2005-06-28				30	10
WUR:CE-FIN05-I-222-B	2005-06-28				28	11
WUR:CE-FIN05-I-222-C	2005-06-28				28	10
WUR:CE-FIN05-I-223-A	2005-06-28				33	8
WUR:CE-FIN05-I-223-B	2005-06-28				33	11
WUR:CE-FIN05-I-223-C	2005-06-28				30	10
WUR:CE-FIN05-I-224-A	2005-06-28				26	7
WUR:CE-FIN05-I-224-B	2005-06-28					
WUR:CE-FIN05-I-224-C	2005-06-28				28	8
WUR:CE-FIN05-I-225-A	2005-06-28				28	8
WUR:CE-FIN05-I-225-B	2005-06-28				28	7
WUR:CE-FIN05-I-225-C	2005-06-28				29	7
WUR:CE-FIN05-I-226-A	2005-06-28				32	5
WUR:CE-FIN05-I-226-B	2005-06-28				39	1
WUR:CE-FIN05-I-226-C	2005-06-28				29	8
WUR:CE-FIN05-I-227-A	2005-06-28				28	10
WUR:CE-FIN05-I-227-B	2005-06-28				30	6
WUR:CE-FIN05-I-227-C	2005-06-28				32	6
WUR:CE-FIN05-I-228-A	2005-06-28				26	9
WUR:CE-FIN05-I-228-B	2005-06-28				25	12
WUR:CE-FIN05-I-228-C	2005-06-28				25	13
WUR:CE-FIN05-I-229-A	2005-06-28				26	9
WUR:CE-FIN05-I-229-B	2005-06-28				29	6
WUR:CE-FIN05-I-229-C	2005-06-28				25	7
WUR:CE-FIN05-I-230-A	2005-06-28				27	8
WUR:CE-FIN05-I-230-B	2005-06-28				27	10
WUR:CE-FIN05-I-230-C	2005-06-28				25	8
WUR:CE-FIN05-I-231-A	2005-06-28				29	6
WUR:CE-FIN05-I-231-B	2005-06-28					
WUR:CE-FIN05-I-231-C	2005-06-28				30	6
WUR:CE-FIN05-I-232-A	2005-06-28				28	10
WUR:CE-FIN05-I-232-B	2005-06-28				30	6
WUR:CE-FIN05-I-232-C	2005-06-28				28	8
WUR:CE-FIN05-I-233-A	2005-06-28				27	4
WUR:CE-FIN05-I-233-B	2005-06-28				26	11
WUR:CE-FIN05-I-233-C	2005-06-28				27	6
WUR:CE-FIN05-I-234-A	2005-06-28				41	1
WUR:CE-FIN05-I-234-B	2005-06-28				40	1
WUR:CE-FIN05-I-234-C	2005-06-28				42	1
WUR:CE-FIN05-I-235-A	2005-06-28				40	1
WUR:CE-FIN05-I-235-B	2005-06-28				37	2
WUR:CE-FIN05-I-235-C	2005-06-28				26	7
WUR:CE-FIN05-I-236-A	2005-06-28					
WUR:CE-FIN05-I-236-B	2005-06-28				35	4
WUR:CE-FIN05-I-236-C	2005-06-28				41	2
WUR:CE-FIN05-I-237-A	2005-06-28				27	2
WUR:CE-FIN05-I-237-B	2005-06-28				26	9
WUR:CE-FIN05-I-237-C	2005-06-28				27	10
WUR:CE-FIN05-I-241-A	2005-06-28		4	33.7	26	19
WUR:CE-FIN05-I-241-B	2005-06-28		4	21.2		
WUR:CE-FIN05-I-241-C	2005-06-28		3	37.4	26	19
WUR:CE-FIN05-I-242-A	2005-06-28		3	4.1	26	18
WUR:CE-FIN05-I-242-B	2005-06-28		7	11.5	26	24
WUR:CE-FIN05-I-242-C	2005-06-28		10	23.3	24	24
WUR:CE-FIN05-I-243-A	2005-06-28				28	18
WUR:CE-FIN05-I-243-B	2005-06-28		3	5.3	25	17
WUR:CE-FIN05-I-243-C	2005-06-28				26	17
WUR:CE-FIN05-I-244-A	2005-06-28				25	26
WUR:CE-FIN05-I-244-B	2005-06-28				25	27
WUR:CE-FIN05-I-244-C	2005-06-28				26	24
WUR:CE-FIN05-I-245-A	2005-06-28		5	16	25	25
WUR:CE-FIN05-I-245-B	2005-06-28		4	9.1	26	26
WUR:CE-FIN05-I-245-C	2005-06-28		6	20.5	25	24
WUR:CE-FIN05-I-246-A	2005-06-28				26	12
WUR:CE-FIN05-I-246-B	2005-06-28				26	14
WUR:CE-FIN05-I-246-C	2005-06-28				26	12
WUR:CE-FIN05-I-247-A	2005-06-28		2	3.2	24	16
WUR:CE-FIN05-I-247-B	2005-06-28				25	16
WUR:CE-FIN05-I-247-C	2005-06-28		4	12.2	21	15
WUR:CE-FIN05-I-248-A	2005-06-28		3	9.1	26	13
WUR:CE-FIN05-I-248-B	2005-06-28		1	5.7	21	24
WUR:CE-FIN05-I-248-C	2005-06-28		4	38.8	20	23
WUR:CE-FIN05-I-249-A	2005-06-28				20	22
WUR:CE-FIN05-I-249-B	2005-06-28				19	29
WUR:CE-FIN05-I-249-C	2005-06-28				19	27
WUR:CE-FIN05-I-250-A	2005-06-28		10	23.2	25	12
WUR:CE-FIN05-I-250-B	2005-06-28		4	16.9	25	16
WUR:CE-FIN05-I-250-C	2005-06-28				26	15
WUR:CE-FIN05-I-251-A	2005-06-28		6	26.6	25	10
WUR:CE-FIN05-I-251-B	2005-06-28				24	4
WUR:CE-FIN05-I-251-C	2005-06-28		9	55.1	22	13
WUR:CE-FIN05-I-252-A	2005-06-28				21	14
WUR:CE-FIN05-I-252-B	2005-06-28				20	17
WUR:CE-FIN05-I-252-C	2005-06-28				26	13
WUR:CE-FIN05-I-253-A	2005-06-28		5	19.6	24	18
WUR:CE-FIN05-I-253-B	2005-06-28		2	4.2	26	24
WUR:CE-FIN05-I-253-C	2005-06-28				26	20
WUR:CE-FIN05-I-254-A	2005-06-28				26	24
WUR:CE-FIN05-I-254-B	2005-06-28				21	26
WUR:CE-FIN05-I-254-C	2005-06-28				24	26
WUR:CE-FIN05-I-255-A	2005-06-28				25	15
WUR:CE-FIN05-I-255-B	2005-06-28		1	24.1	26	17
WUR:CE-FIN05-I-255-C	2005-06-28		2	3.7	26	15
WUR:CE-FIN05-I-256-A	2005-06-28				28	12
WUR:CE-FIN05-I-256-B	2005-06-28				28	10
WUR:CE-FIN05-I-256-C	2005-06-28				33	8
WUR:CE-FIN05-I-257-A	2005-06-28				38	2
WUR:CE-FIN05-I-257-B	2005-06-28				38	3
WUR:CE-FIN05-I-257-C	2005-06-28				35	6
WUR:CE-FIN05-I-258-A	2005-06-28				33	8
WUR:CE-FIN05-I-258-B	2005-06-28				33	8
WUR:CE-FIN05-I-258-C	2005-06-28				33	9
WUR:CE-FIN05-I-259-A	2005-06-28				34	6
WUR:CE-FIN05-I-259-B	2005-06-28				34	5
WUR:CE-FIN05-I-259-C	2005-06-28				35	5
WUR:CE-FIN05-I-260-A	2005-06-28				34	7
WUR:CE-FIN05-I-260-B	2005-06-28				34	7
WUR:CE-FIN05-I-260-C	2005-06-28				33	8
WUR:CE-FIN05-II-261-A	2005-07-12				54	1
WUR:CE-FIN05-II-261-B	2005-07-12				47	5
WUR:CE-FIN05-II-261-C	2005-07-12				35	10
WUR:CE-FIN05-II-262-A	2005-07-12		11	18.7	33	20
WUR:CE-FIN05-II-262-B	2005-07-12		1	1	39	8
WUR:CE-FIN05-II-262-C	2005-07-12		5	11.5	36	13
WUR:CE-FIN05-II-263-A	2005-07-12					
WUR:CE-FIN05-II-263-B	2005-07-12		9	17	29	27
WUR:CE-FIN05-II-263-C	2005-07-12					
WUR:CE-FIN05-II-264-A	2005-07-12		23	91.6	26	22
WUR:CE-FIN05-II-264-B	2005-07-12		14	52.2	26	27
WUR:CE-FIN05-II-264-C	2005-07-12		13	52	26	27
WUR:CE-FIN05-II-265-A	2005-07-12				37	17
WUR:CE-FIN05-II-265-B	2005-07-12		1	0.8	36	17
WUR:CE-FIN05-II-265-C	2005-07-12		12	25.5	27	25
WUR:CE-FIN05-II-266-A	2005-07-12				38	3
WUR:CE-FIN05-II-266-B	2005-07-12		11	64.7	25	26
WUR:CE-FIN05-II-266-C	2005-07-12		20	72.2	23	24
WUR:CE-FIN05-II-267-A	2005-07-12		6	11.4	28	30
WUR:CE-FIN05-II-267-B	2005-07-12		5	7.4	28	27
WUR:CE-FIN05-II-267-C	2005-07-12		5	19.9	27	31
WUR:CE-FIN05-II-268-A	2005-07-12		17	27.1	27	20
WUR:CE-FIN05-II-268-B	2005-07-12		23	42.7	29	30
WUR:CE-FIN05-II-268-C	2005-07-12		11	20	28	24
WUR:CE-FIN05-II-269-A	2005-07-12		14	35.9	27	29
WUR:CE-FIN05-II-269-B	2005-07-12		12	22	30	29
WUR:CE-FIN05-II-269-C	2005-07-12		14	57.2	26	32
WUR:CE-FIN05-II-270-A	2005-07-12		6	13.7	28	19
WUR:CE-FIN05-II-270-B	2005-07-12		7	22.8	27	30
WUR:CE-FIN05-II-270-C	2005-07-12		5	15.6	28	21
WUR:CE-FIN05-II-271-A	2005-07-12				34	17
WUR:CE-FIN05-II-271-B	2005-07-12				26	27
WUR:CE-FIN05-II-271-C	2005-07-12					
WUR:CE-FIN05-II-272-A	2005-07-12				31	26
WUR:CE-FIN05-II-272-B	2005-07-12				32	21
WUR:CE-FIN05-II-272-C	2005-07-12		3	3.7	29	24
WUR:CE-FIN05-II-273-A	2005-07-12		4	11	25	26
WUR:CE-FIN05-II-273-B	2005-07-12		2	3.9	27	25
WUR:CE-FIN05-II-273-C	2005-07-12		2	2.2	28	20
WUR:CE-FIN05-II-274-A	2005-07-12		15	50.3	27	30
WUR:CE-FIN05-II-274-B	2005-07-12		6	11.3	33	30
WUR:CE-FIN05-II-274-C	2005-07-12		26	94.2	25	42
WUR:CE-FIN05-II-275-A	2005-07-12		1	2.7	26	21
WUR:CE-FIN05-II-275-B	2005-07-12				35	13
WUR:CE-FIN05-II-275-C	2005-07-12				25	30
WUR:CE-FIN05-II-276-A	2005-07-12		8	84.1	22	25
WUR:CE-FIN05-II-276-B	2005-07-12		9	52.9	25	26
WUR:CE-FIN05-II-276-C	2005-07-12		15	120	23	30
WUR:CE-FIN05-II-277-A	2005-07-12				41	5
WUR:CE-FIN05-II-277-B	2005-07-12		1	2	25	15
WUR:CE-FIN05-II-277-C	2005-07-12				36	13
WUR:CE-FIN05-II-278-A	2005-07-12				45	5
WUR:CE-FIN05-II-278-B	2005-07-12		29	78.2	26	29
WUR:CE-FIN05-II-278-C	2005-07-12		14	69.6	26	26
WUR:CE-FIN05-II-279-A	2005-07-12				37	12
WUR:CE-FIN05-II-279-B	2005-07-12		28	73.7	25	24
WUR:CE-FIN05-II-279-C	2005-07-12		19	31.1	29	24
WUR:CE-FIN05-II-280-A	2005-07-12				26	18
WUR:CE-FIN05-II-280-B	2005-07-12		8	12.4	25	29
WUR:CE-FIN05-II-280-C	2005-07-12		6	15.4	27	25
WUR:CE-FIN05-II-281-A	2005-07-12		1	2.8	43	11
WUR:CE-FIN05-II-281-B	2005-07-12		17	54.8	25	26
WUR:CE-FIN05-II-281-C	2005-07-12		16	63.3	23	30
WUR:CE-FIN05-II-282-A	2005-07-12		16	58.2	25	20
WUR:CE-FIN05-II-282-B	2005-07-12		26	96.6	26	16
WUR:CE-FIN05-II-282-C	2005-07-12		21	130.1	26	19
WUR:CE-FIN05-II-283-A	2005-07-12		10	20.4	32	15
WUR:CE-FIN05-II-283-B	2005-07-12		15	35.9	30	20
WUR:CE-FIN05-II-283-C	2005-07-12		15	32.7	33	17
WUR:CE-FIN05-II-284-A	2005-07-12		5	7.3	28	30
WUR:CE-FIN05-II-284-B	2005-07-12		20	45.7	23	34
WUR:CE-FIN05-II-284-C	2005-07-12		9	21.8	26	43
WUR:CE-FIN05-II-285-A	2005-07-12				32	14
WUR:CE-FIN05-II-285-B	2005-07-12				25	43
WUR:CE-FIN05-II-285-C	2005-07-12				28	32
WUR:CE-FIN05-II-286-A	2005-07-12				27	21
WUR:CE-FIN05-II-286-B	2005-07-12				27	18
WUR:CE-FIN05-II-286-C	2005-07-12				28	23
WUR:CE-FIN05-II-287-A	2005-07-12		19	95.9	26	24
WUR:CE-FIN05-II-287-B	2005-07-12		10	65.5	25	20
WUR:CE-FIN05-II-287-C	2005-07-12		18	132.8	26	27
WUR:CE-FIN05-II-288-A	2005-07-12		11	22.4	30	28
WUR:CE-FIN05-II-288-B	2005-07-12		19	77.4	25	34
WUR:CE-FIN05-II-288-C	2005-07-12		31	121.9	25	34
WUR:CE-FIN05-II-289-A	2005-07-12				47	6
WUR:CE-FIN05-II-289-B	2005-07-12				36	16
WUR:CE-FIN05-II-289-C	2005-07-12				35	15
WUR:CE-FIN05-II-290-A	2005-07-12					
WUR:CE-FIN05-II-290-B	2005-07-12		20	85	24	28
WUR:CE-FIN05-II-290-C	2005-07-12		16	45.4	26	24
WUR:CE-FIN05-II-291-A	2005-07-12		11	11.2	29	20
WUR:CE-FIN05-II-291-B	2005-07-12		15	20.2	28	18
WUR:CE-FIN05-II-291-C	2005-07-12		8	12.3	28	18
WUR:CE-FIN05-II-292-A	2005-07-12				30	15
WUR:CE-FIN05-II-292-B	2005-07-12				37	12
WUR:CE-FIN05-II-292-C	2005-07-12				29	18
WUR:CE-FIN05-II-293-A	2005-07-12				36	17
WUR:CE-FIN05-II-293-B	2005-07-12		3	2.8	36	21
WUR:CE-FIN05-II-293-C	2005-07-12				36	17
WUR:CE-FIN05-II-294-A	2005-07-12				26	35
WUR:CE-FIN05-II-294-B	2005-07-12				29	33
WUR:CE-FIN05-II-294-C	2005-07-12		3	3.3	27	10
WUR:CE-FIN05-II-295-A	2005-07-12				30	16
WUR:CE-FIN05-II-295-B	2005-07-12				36	11
WUR:CE-FIN05-II-295-C	2005-07-12				33	23
WUR:CE-FIN05-II-296-A	2005-07-12				30	23
WUR:CE-FIN05-II-296-B	2005-07-12				33	21
WUR:CE-FIN05-II-296-C	2005-07-12		1	2.2	26	26
WUR:CE-FIN05-II-297-A	2005-07-12		21	113.6	25	42
WUR:CE-FIN05-II-297-B	2005-07-12		19	83.7	25	36
WUR:CE-FIN05-II-297-C	2005-07-12		17	114.8	26	39
WUR:CE-FIN05-II-298-A	2005-07-12				28	10
WUR:CE-FIN05-II-298-B	2005-07-12				28	28
WUR:CE-FIN05-II-298-C	2005-07-12				27	26
WUR:CE-FIN05-II-299-A	2005-07-12		23	74.1	27	29
WUR:CE-FIN05-II-299-B	2005-07-12		21	52.6	27	23
WUR:CE-FIN05-II-299-C	2005-07-12		23	74.1	27	28
WUR:CE-FIN05-II-300-A	2005-07-12		3	5.7	28	24
WUR:CE-FIN05-II-300-B	2005-07-12		5	7.1	28	24
WUR:CE-FIN05-II-300-C	2005-07-12				32	23
WUR:CE-FIN05-II-301-A	2005-07-12				29	21
WUR:CE-FIN05-II-301-B	2005-07-12				34	13
WUR:CE-FIN05-II-301-C	2005-07-12				34	15
WUR:CE-FIN05-II-302-A	2005-07-12				36	12
WUR:CE-FIN05-II-302-B	2005-07-12		6	13.1	29	23
WUR:CE-FIN05-II-302-C	2005-07-12				36	19
WUR:CE-FIN05-II-303-A	2005-07-12				43	8
WUR:CE-FIN05-II-303-B	2005-07-12				41	12
WUR:CE-FIN05-II-303-C	2005-07-12				37	13
WUR:CE-FIN05-II-304-A	2005-07-12		2	3.7	27	35
WUR:CE-FIN05-II-304-B	2005-07-12		3	11.1	25	38
WUR:CE-FIN05-II-304-C	2005-07-12				36	27
WUR:CE-FIN05-II-305-A	2005-07-12		4	4.7	29	32
WUR:CE-FIN05-II-305-B	2005-07-12		1	1.2	29	30
WUR:CE-FIN05-II-305-C	2005-07-12		1	2	30	28
WUR:CE-FIN05-II-306-A	2005-07-12				37	13
WUR:CE-FIN05-II-306-B	2005-07-12				39	19
WUR:CE-FIN05-II-306-C	2005-07-12				34	23
WUR:CE-FIN05-II-307-A	2005-07-12				30	28
WUR:CE-FIN05-II-307-B	2005-07-12		1	1.5	28	30
WUR:CE-FIN05-II-307-C	2005-07-12				31	29
WUR:CE-FIN05-II-308-A	2005-07-12		1	1.4	27	17
WUR:CE-FIN05-II-308-B	2005-07-12					
WUR:CE-FIN05-II-308-C	2005-07-12		17	73.6	25	29
WUR:CE-FIN05-II-309-A	2005-07-12				28	32
WUR:CE-FIN05-II-309-B	2005-07-12				30	20
WUR:CE-FIN05-II-309-C	2005-07-12				31	23
WUR:CE-FIN05-II-310-A	2005-07-12		8	14.8	31	25
WUR:CE-FIN05-II-310-B	2005-07-12				40	12
WUR:CE-FIN05-II-310-C	2005-07-12		19	59.9	28	31
WUR:CE-FIN05-II-311-A	2005-07-12				46	5
WUR:CE-FIN05-II-311-B	2005-07-12				34	12
WUR:CE-FIN05-II-311-C	2005-07-12				28	15
WUR:CE-FIN05-II-312-A	2005-07-12		6	9.3	28	20
WUR:CE-FIN05-II-312-B	2005-07-12		2	2.5	29	19
WUR:CE-FIN05-II-312-C	2005-07-12				28	20
WUR:CE-FIN05-II-313-A	2005-07-12				39	17
WUR:CE-FIN05-II-313-B	2005-07-12		1	2.8	33	25
WUR:CE-FIN05-II-313-C	2005-07-12		12	49.8	29	32
WUR:CE-FIN05-II-314-A	2005-07-12		18	76	26	32
WUR:CE-FIN05-II-314-B	2005-07-12		16	49.7	27	27
WUR:CE-FIN05-II-314-C	2005-07-12		11	22.9	33	27
WUR:CE-FIN05-II-315-A	2005-07-12		13	29.8	29	24
WUR:CE-FIN05-II-315-B	2005-07-12		12	38.1	31	20
WUR:CE-FIN05-II-315-C	2005-07-12		10	7.6	36	13
WUR:CE-FIN05-II-316-A	2005-07-12				25	33
WUR:CE-FIN05-II-316-B	2005-07-12				26	30
WUR:CE-FIN05-II-316-C	2005-07-12				25	30
WUR:CE-FIN05-II-317-A	2005-07-12					
